,brand,store,sido,gungu,address,phone
0,pelicana,가경동점,충청북도,청주시,충청북도 청주시 풍산로 103(복대동),043-233-4091
1,pelicana,가남점,경기도,여주시,경기도 여주시 가남면 태평중앙1길 8-6,031-883-5746
2,pelicana,가래비점,경기도,양주시,경기도 양주시 광적면 가래비길 24,031-855-6126
3,pelicana,가마점,충청북도,청주시,"충청북도 청주시 남이면 청남로 1827-25, 1층",043-287-2003
4,pelicana,가수원점,대전광역시,서구,대전광역시 서구 벌곡로 1353번길 63,042-541-1350
5,pelicana,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로57길 10-11, 101-1호 (가양동, 이스타빌2차)",02-3663-3700
6,pelicana,가오점,대전광역시,동구,대전광역시 동구 은어송로 77번길 17,
7,pelicana,가운점,경기도,남양주시,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,031-557-9222
8,pelicana,가장점,대전광역시,서구,대전광역시 서구 갈마로 298,042-532-1140ㅋ
9,pelicana,가정지구1점,인천광역시,서구,인천광역시 서구 봉오재2로 37 104호,032-567-5885
10,pelicana,가좌3점,인천광역시,서구,인천광역시 서구 가석로156번길 23-1,
11,pelicana,가평역전점,경기도,가평군,경기도 가평군 가평읍 굴다리길 13,031-582-5242
12,pelicana,가평점,경기도,가평군,경기도 가평군 가평읍 가화로 125-1,031-582-4419
13,pelicana,가흥점,경상북도,영주시,경상북도 영주시 창진로 59,054-634-2500
14,pelicana,각화주공점,광주광역시,북구,광주광역시 북구 군왕로207번길 16 107호,062-264-8529
15,pelicana,간성점,강원도,고성군,강원도 고성군 간성읍 간성로 45,033-681-3330
16,pelicana,간현점,강원도,원주시,강원도 원주시 지정면 간현로 188,033-731-0887
17,pelicana,갈곶원동점,경기도,오산시,경기도 오산시 오산로 68(갈곶동),
18,pelicana,갈마점,대전광역시,서구,대전광역시 서구 갈마로 60(갈마동),042-531-9962
19,pelicana,갈산점,인천광역시,부평구,인천광역시 부평구 굴포로 42,032-522-9292
20,pelicana,갈산점(이천),경기도,이천시,"경기도 이천시 갈산로 81(갈산동, 102)",031-638-8320
21,pelicana,갈산점(홍성),충청남도,홍성군,충청남도 홍성군 갈산면 갈산로 109-1,041-634-1881
22,pelicana,감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 142,043-881-3903
23,pelicana,감삼점,대구광역시,달서구,대구광역시 달서구 두류3동 630-1,
24,pelicana,강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로 126-1,041-745-1206
25,pelicana,강구점,경상북도,영덕군,경상북도 영덕군 강구면 강구리 453,054-733-5544
26,pelicana,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),02-515-3576
27,pelicana,강남대점,경기도,용인시,경기도 용인시 강남동로114번길 22(상하동),031-284-9292
28,pelicana,강릉교동점,강원도,강릉시,강원도 강릉시  강릉대로 269 (교동),033-642-9800
29,pelicana,강릉서부점,강원도,강릉시,강원도 강릉시  임영로 170-3(임당동),033-641-1930
30,pelicana,강릉옥계점,강원도,강릉시,강원도 강릉시  옥계면 현내시장길 59,033-534-2587
31,pelicana,강릉옥천동점,강원도,강릉시,강원도 강릉시  경강로 2166 1층(옥천동),033-642-1532
32,pelicana,강릉유천점,강원도,강릉시,강원도 강릉시  선수촌로63번길 5 우미린상가106,033-641-8494
33,pelicana,강릉택지점,강원도,강릉시,강원도 강릉시  율곡초교길39번 23(교동),033-645-6288
34,pelicana,강북점,대구광역시,북구,대구광역시 북구 읍내동 대천로9길 11-5,053-322-5090
35,pelicana,강상점,경기도,양평군,"경기도 양평군 강상면 강남로 922, 107호",031-775-8259
36,pelicana,강서점,충청북도,청주시,충청북도 청주시 가로수로1154 5-21(강서동),043-232-5254
37,pelicana,강선점,경기도,고양시,경기도 고양시 강선로 67번지 유원상가 103호,031-912-5558
