,brand,store,sido,gungu,address,phone
0,goobne,흥덕지구점,경기도,용인시,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호",031-212-9293
1,goobne,후곡점,경기도,고양시,경기도 고양시 일산서구  일산로 576,031-913-9289
2,goobne,효자중화산1호점,전라북도,전주시완산구,전라북도 전주시완산구  안행로 154,063-232-8294
3,goobne,회덕점,경기도,광주시,경기도 광주시  이배재로 108,031-797-9293
4,goobne,황상인의점,경상북도,구미시,경상북도 구미시  여현로 80,054-473-9482
5,goobne,화천점,강원도,화천군,강원도 화천군 화천읍 중앙로 37번지,033-442-9994
6,goobne,화정1동점,경기도,고양시,경기도 고양시 덕양구  은빛로29번길 15-4,031-967-9592
7,goobne,화양점,서울특별시,광진구,"서울특별시 광진구   능동로19길 53, 1층",02-461-9993
8,goobne,화성반월점,경기도,화성시,"경기도 화성시  효행로1265번길 17, 101호",031-222-9294
9,goobne,화성마도점,경기도,화성시,경기도 화성시 마도면 두곡서길 35 1층,031-356-5708
10,goobne,화성남양점,경기도,화성시,경기도 화성시 남양동 남양도시개발구역 2-1블럭 화성남양상가 103,031-356-9207
11,goobne,화서1동점,경기도,수원시,경기도 수원시 팔달구 화서동 219-1번지 101호,031-248-6999
12,goobne,화북삼양점,제주도,제주시,제주도 제주시  진동로1길 13,064-759-9282
13,goobne,화곡본동점,서울특별시,강서구,서울특별시 강서구 화곡동 29-27,02-2601-8292
14,goobne,화곡4동점,서울특별시,강서구,서울특별시 강서구 화곡4동 827-8번지,02-2643-9294
15,goobne,화곡1동점,서울특별시,강서구,서울특별시 강서구  곰달래로 19길 46 1층,02-2694-9294
16,goobne,홍천점,강원도,홍천군,강원도 홍천군 홍천읍 연봉리 502-5번지,033-436-9292
17,goobne,홍제2호점,서울특별시,서대문구,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호",02-720-9492
18,goobne,홍제1호점,서울특별시,서대문구,서울특별시 서대문구 홍제동 155-6번지,02-732-9595
19,goobne,홍은2동점,서울특별시,서대문구,"서울특별시 서대문구  백련사길 6, 1층",02-395-9293
20,goobne,홍성읍점,충청남도,홍성군,충청남도 홍성군 홍성읍 문화로 33번길 10,041-631-9255
21,goobne,홍농읍점,전라남도,영광군,"전라남도 영광군 홍농읍 상하길 33, 102호",061-356-9004
22,goobne,호평점,경기도,남양주시,경기도 남양주시 호평동 615-6,031-592-9392
23,goobne,호원1호점,경기도,의정부시,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)",031-875-0006
24,goobne,호수동점,경기도,안산시,"경기도 안산시 단원구  광덕2로 194-8,108호",031-410-9475
25,goobne,호매실점,경기도,수원시,"경기도 수원시 권선구  서수원로523번길 30-35, 101호",031-292-8294
26,goobne,호계점,경기도,,"경기도  안양시 동안구  엘에스로 45, 1층 117호(호계동, 대영골든타워)",031-452-9292
27,goobne,현풍점,대구광역시,달성군,대구광역시 달성군 현풍면 현풍중앙로14길 85,053-617-9492
28,goobne,헬리오시티점,서울특별시,송파구,"서울특별시 송파구  송파대로37길 88, 2층(석촌동)",02-422-9294
29,goobne,향남지구점,경기도,화성시,경기도 화성시 향남읍 행정서로3길 4-16,031-359-9282
30,goobne,향남2지구점,경기도,화성시,"경기도 화성시 향남읍 상신하길로298번길 7-27, 1층 111호",031-352-4837
31,goobne,행신2호점,경기도,고양시,"경기도 고양시 덕양구  중앙로 478, 109호",031-972-9294
32,goobne,행당점,서울특별시,성동구,서울특별시 성동구  행당로 79,02-2294-9294
33,goobne,해운대중동점,부산광역시,해운대구,"부산광역시 해운대구  달맞이길65번길 15, 103호",051-701-9235
34,goobne,해남점,전라남도,해남군,전라남도 해남군 해남읍 법원길4,061-537-9494
35,goobne,함열점,전라북도,익산시,전라북도 익산시 함열읍 함열1길 28,063-862-9994
