Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,exam_part,holiday,instit_kind,instit_nm,lat,lng,medical_instit_kind,organ_loc,regist_dt,street_nm_addr,sunday_oper_week,tel,update_dt,zip_code
10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,,10:00~21:00,약국,트레이더스약국,35.18408381,129.0802078,응급의료기관이외,이마트 트레이더스 내 위치,2021-02-10,"부산광역시 연제구 좌수영로 241, 지하3층 (연산동)",1 2 3 4 5,051-505-2680,2021-02-10,47569
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"가정의학과,내과,소아청소년과,이비인후과,피부과",~,의원,하은소아청소년과의원,35.14785602,129.0588986,응급의료기관이외,"1호선 범내골역 5,7번출구",2021-02-10,"부산광역시 부산진구 중앙대로 617, 3층 (범천동)",,051-631-6003,2021-02-10,47351
09:30~19:00,09:30~21:00,~,~,14:30~21:00,09:30~19:00,09:30~19:00,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과,통합치의학과",~,치과의원,고운플란트치과의원,35.16242025,129.0632696,응급의료기관이외,1호선 부전역 6번출구,2021-02-03,"부산광역시 부산진구 중앙대로 792, 진흥프라자 3 일부층 (전포동)",,051-791-0066,2021-02-10,47241
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,외과,~,의원,따뜻함의원,35.10062321,128.993991,응급의료기관이외,1호선 괴정역 3번출구,2021-02-03,"부산광역시 사하구 낙동대로 208, 3,4층 (괴정동)",,051-717-3800,2021-02-03,49338
09:00~17:30,09:00~17:30,09:00~15:00,~,09:00~17:30,09:00~17:30,09:00~17:30,,~,약국,행복약국,35.17749393,129.0485354,응급의료기관이외,,2021-01-27,"부산광역시 부산진구 새싹로 240-1, 1층 (초읍동)",,051-805-2032,2021-02-15,47127
09:00~19:00,09:00~19:00,09:00~16:00,~,09:00~19:00,09:00~19:00,09:00~19:00,,~,약국,새빛약국,35.10062321,128.993991,응급의료기관이외,1호선 괴정역 5번출구,2021-01-27,"부산광역시 사하구 낙동대로 208, 101호 (괴정동)",,051-208-7119,2021-01-27,49338
09:30~18:30,09:30~18:30,09:30~13:00,~,09:30~18:30,09:30~18:30,09:30~13:00,"구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과",~,치과의원,탑플랜치과의원,35.26618318,129.226425,응급의료기관이외,동해선 일광역 2번출구,2021-01-27,"부산광역시 기장군 일광면 해빛로 13, 6층 601,602호",,051-723-2275,2021-01-27,46048
09:00~18:00,09:00~18:00,~,~,09:00~18:00,09:00~18:00,09:00~18:00,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과",~,치과의원,장치과의원,35.31288542,129.2446369,응급의료기관이외,장안읍행정복지센터 인근,2021-01-27,"부산광역시 기장군 장안읍 해맞이로 9, 2층 203호",,051-728-5522,2021-02-15,46033
09:00~21:00,09:00~21:00,09:00~17:00,~,09:00~17:00,09:00~21:00,09:00~17:00,"사상체질과,침구과,한방내과,한방부인과,한방소아과,한방신경정신과,한방안이비인후피부과,한방재활의학과",~,한의원,호일침한의원,35.15943167,129.0556023,응급의료기관이외,"1,2호선 서면역 9번출구",2021-01-21,"부산광역시 부산진구 서면문화로 27, 유원 골든타워 오피스텔 20층 (부전동)",,1577-1775,2021-01-21,47257
10:00~18:30,10:00~18:30,10:00~15:00,~,10:00~18:30,10:00~18:30,10:00~18:30,"구강내과,구강병리과,구강악안면방사선과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과",~,치과의원,박우경치과교정과치과의원,35.16535756,129.1144818,응급의료기관이외,"2,3호선 수영역 10번 출구 커피빈 5층",2021-01-21,"부산광역시 수영구 수영로 667, 5층 (광안동)",,051-714-2636,2021-01-21,48243
09:30~18:30,09:30~18:30,09:30~14:00,~,09:30~18:30,09:30~18:30,09:30~20:00,"구강내과,구강안면외과,소아치과,예방치과,치과교정과,치과보존과,치과보철과,치주과",~,치과의원,당감미치과의원,35.16561787,129.0386352,응급의료기관이외,2호선 부암역 6번출구,2021-01-21,"부산광역시 부산진구 동평로 83, 미래메디칼 5층 (당감동)",,051-898-2888,2021-01-21,47145
09:00~18:00,09:00~18:00,09:00~13:00,~,09:00~18:00,09:00~18:00,09:00~18:00,"마취통증의학과,신경외과,정형외과",~,의원,시원마취통증의학과의원,35.15881919,129.0576139,응급의료기관이외,,2021-01-21,"부산광역시 부산진구 서면문화로 10, 17층 (부전동)",,051-802-7541,2021-01-21,47256
09:30~18:30,09:30~18:30,09:30~15:30,~,09:30~18:30,09:30~18:30,09:30~18:30,안과,~,의원,부산글로벌서울안과의원,35.15294507,129.0572744,응급의료기관이외,"1,2호선 서면역 7번출구",2021-01-21,"부산광역시 부산진구 서면로 25, 4층 (부전동)",,051-951-2020,2021-01-21,47288
